appid,name,content
574940,Downward Spiral: Prologue,downward spiral prologue action adventure atmospheric great soundtrack indie online co op sci fi vr action adventure atmospheric great soundtrack indie online co op sci fi vr downward spiral prologue is a mysterious and atmospheric zero gravity thriller powered by innovative free movement in vr without motion sickness
574980,Them's Fightin' Herds,them s fightin herds 2d 2d fighter action cartoon cute early access female protagonist fighting great soundtrack indie multiplayer pixel graphics 2d 2d fighter action cartoon cute early access female protagonist fighting great soundtrack indie multiplayer pixel graphics them s fightin herds is an indie 2d fighting game featuring a cast of adorable animals designed by acclaimed cartoon producer lauren faust beneath the cute and cuddly surface a mechanically deep ggpo powered fighter awaits
575000,Hellphobia,hellphobia action horror indie top down shooter twin stick shooter action horror indie top down shooter twin stick shooter be prepared to face hell await ten levels of pure hardcore style you have to use all of michael powers to defeat the supreme lucifer ravaging hordes of demons with the divine power to michael
575010,Celestial Crossing,celestial crossing adventure anime dating sim indie nudity sexual content story rich visual novel adventure anime dating sim indie nudity sexual content story rich visual novel would you get along with your game character do you think you would get along would you like each other or would you not stand the sight of each other find out in this visual novel
575030,Baru and the Spirit Prince,baru and the spirit prince adventure indie adventure indie only the brave can see the magic of elenav heroes of the kingdom of locria set on an adventure in search of elenav a heavenly fruit that appears only once every thousand years in the village of lucril baru finds himself in the middle of a skirmish by evil hero vasil
575060,Nemo_D.O,nemo d o arcade casual early access indie puzzle arcade casual early access indie puzzle nemo d o is a puzzle action game player should control the two robots simultaneously to achieve the goal
575080,Pleasure in Dream,pleasure in dream action indie shoot em up action indie shoot em up today will you listen to this small story
575090,Flame of Memory,flame of memory indie strategy indie strategy flame of memory is a strategy indie game where your task is to survive as long as you can in a dark forest at your disposal will get two guerillas whom you can give commands how long can you survive
575100,Nukklerma: Robot Warfare,nukklerma robot warfare action adventure atmospheric early access fps gore great soundtrack horror indie post apocalyptic story rich violent action adventure atmospheric early access fps gore great soundtrack horror indie post apocalyptic story rich violent one year after the plasma nuclear annihilation on earth it became clear that there is no rescue in sight and most survivors gave up the last hope but elon believes in the salvation of the dead planet and follows an indefinable buzz into drains
575110,Magic Lantern,magic lantern adventure simulation vr adventure simulation vr magic lantern vr is a cozy virtual room for the whole family where you can watch your favorite stories play games draw pictures and generally have fun journey into a magical spellbinding world
575130,Danko and treasure map,danko and treasure map adventure casual indie memes puzzle adventure casual indie memes puzzle ollecting various jewelry rescue his friends addressing various puzzles
575140,Cemetery Warrior 3,cemetery warrior 3 action fps indie violent action fps indie violent cemetery warrior 3 is a dynamic and exciting 3d first person shooter with great graphics lots of weapons and various monsters you will explore an ancient monastery and its dungeons
575210,Happy Drummer VR,happy drummer vr casual simulation vr casual simulation vr firstly please allow us to take this opportunity to express our sincere gratefulness to all our early access players who gave us a lot of good suggestions to make this experience better we really enjoyed collaborating with you guys happy drummer is a music vr game on htc vive
575330,Oh...Sir! The Hollywood Roast,oh sir the hollywood roast adventure comedy funny indie multiplayer simulation adventure comedy funny indie multiplayer simulation the boys are back and they look better than ever oh sir the hollywood roast is a brand new spinoff to the surprise indie hit 0f 2016 oh sir the insult simulator this time around we re taking tinsel town down a few notches whilst classing up the joint
575340,Chessaria: The Tactical Adventure (Chess),chessaria the tactical adventure chess artificial intelligence board game chess crowdfunded family friendly fantasy indie mouse only multiplayer puzzle simulation singleplayer sports strategy strategy rpg tactical turn based turn based combat turn based strategy turn based tactics artificial intelligence board game chess crowdfunded family friendly fantasy indie mouse only multiplayer puzzle simulation singleplayer sports strategy strategy rpg tactical turn based turn based combat turn based strategy turn based tactics experience a 4k graphics strategy game with tactical depth breadth and challenge like nothing you have played before the perfect mix of chess tactical setups and quests inpired by classic rpgs
575360,Ultimagus,ultimagus 2d action action rpg adventure arcade casual difficult fantasy great soundtrack indie isometric magic pixel graphics rpg real time tactics shoot em up side scroller singleplayer tower defense 2d action action rpg adventure arcade casual difficult fantasy great soundtrack indie isometric magic pixel graphics rpg real time tactics shoot em up side scroller singleplayer tower defense a magical 2d shooter defender with unique spell selection blast trough 50 levels face countless hordes of monsters and evil bosses become the ultimagus
575400,Try Hard Parking,try hard parking difficult driving indie isometric racing retro simulation difficult driving indie isometric racing retro simulation quot hardest and most rage inducing parking game in the world quot navigate crazy obstacle courses in pursuit of your holy parking spot in this 80s arcade style driving game
575420,Chocolate,chocolate casual indie vr casual indie vr chocolate is a 3 4 minute reactive linear vr music video experience for the song by giraffage that sets you as a robot in a cat centric world of colorful chrome in which your hands interact with your environment and everything dynamically moves and changes to the music
575430,VR Home,vr home early access indie simulation vr early access indie simulation vr vr home is a sandbox game made for the htc vive based around building and designing your own virtual house or room you can build save customise and interact with your spaces and homes
575450,Graceful Explosion Machine,graceful explosion machine 2d action arcade arena shooter bullet hell colorful controller cute futuristic great soundtrack indie minimalist sci fi shoot em up shooter singleplayer space top down shooter 2d action arcade arena shooter bullet hell colorful controller cute futuristic great soundtrack indie minimalist sci fi shoot em up shooter singleplayer space top down shooter skillfully pilot the graceful explosion machine a fighter ship armed with a ludicrously overpowered quad weapon array lost in deep space you ll shoot dash and combo your way through jewel hued uncharted planets fighting an alien armada to find a way home
575460,My Super Tower 2,my super tower 2 adventure building casual classic difficult fantasy indie isometric medieval pve rts real time relaxing rogue like singleplayer strategy survival top down tower defense adventure building casual classic difficult fantasy indie isometric medieval pve rts real time relaxing rogue like singleplayer strategy survival top down tower defense my super tower 2 is a classic tower defence with a minimalistic 3d graphics you goal is protect your castle from waves of enemies by using different types of towers and magic skills
575480,WAGAMAMA HIGH SPEC,wagamama high spec adventure anime casual nudity sexual content visual novel adventure anime casual nudity sexual content visual novel narumi kouki our hapless protagonist writes a risque romcom for a weekly manga magazine due to its content he s kept it a secret from everyone except the two closest to him mihiro and toa
575490,Let's Draw,let s draw casual family friendly indie singleplayer casual family friendly indie singleplayer let s draw is a drawing game for everyone especially children
575510,Sakura Agent,sakura agent adventure anime casual indie nudity sexual content visual novel adventure anime casual indie nudity sexual content visual novel the new sakura game from winged cloud sakura agent date 2 beautiful girls in this agent adventure
575550,Hell Girls,hell girls adventure anime casual female protagonist indie match 3 mature memes nsfw nudity psychological horror puzzle rpg sexual content singleplayer strategy adventure anime casual female protagonist indie match 3 mature memes nsfw nudity psychological horror puzzle rpg sexual content singleplayer strategy hell girls is a unique puzzle rpg that prioritizes match3 strategy over speed fight monsters with diverse characters that have unique fighting skills based on their personalities with anime inspired artwork each character has loads of cute and sexy outfits hell girls blends addictive gameplay with immersive roleplaying and story
575560,Space Badminton VR,space badminton vr sports vr sports vr space badminton is the worlds first vr badminton simulation it will test your true badminton skills against a sophisticated and skilled artificially intelligent space robot you will fight against the ai robot to become the badminton champion
575570,ICED,iced action adventure gore indie simulation survival violent action adventure gore indie simulation survival violent the protagonist goes winter fishing on a lake and is caught in a snowstorm he decides to wait it out in a tent and falls asleep when the cold wakes him up he finds his burner empty his tent cold and the ice outside broken leaving him with no way back to the shore
575580,Queen of Seas,queen of seas casual indie pixel graphics platformer casual indie pixel graphics platformer queen of seas is a casual platformer game the game theme is about yemanj the queen of seas in afro brazilian religion you play as a fisherman s son that need to dive deep and deliver offerings to the queen of seas poof his family s faith
575590,Balloon Popping Pigs: Deluxe,balloon popping pigs deluxe arcade casual co op colorful controller great soundtrack indie pixel graphics replay value score attack singleplayer arcade casual co op colorful controller great soundtrack indie pixel graphics replay value score attack singleplayer you have 3 balloons to stay a float with each one lost you re in greater risk of danger the longer you survive the clock ticks down and the only way to add more time is to pop balloons collect coins to take all pigs to the sky each pig has its own unique style that lets you say who you are
575600,2017 VR,2017 vr action gore indie rpg vr zombies action gore indie rpg vr zombies 2017 is an excellent vr co op survival game in which players from all over the world gather together in teams to try and hold back the zombie hordes and prevent the outbreak from spreading any further you won t miss it
575630,Permute,permute 3d platformer casual indie 3d platformer casual indie rotate and navigate a colorful world
575640,Zup! 3,zup 3 2d casual indie minimalist physics puzzle relaxing short singleplayer 2d casual indie minimalist physics puzzle relaxing short singleplayer minimal physical puzzle with explosions
575650,Lily's Day Off,lily s day off adventure anime comedy cute dark humor memes visual novel adventure anime comedy cute dark humor memes visual novel lily s day off is a visual novel but not in the typical sense as you progress in this game your actions drastically change characters story lines and outcomes
575670,Five Elements,five elements indie rpg strategy indie rpg strategy five elements is a real time strategy game about managing energies of five taoist elements fire earth metal water and wood the hero is a monk in quest for enlightenment
575680,Square n Fair,square n fair 2d casual indie puzzle puzzle platformer relaxing singleplayer 2d casual indie puzzle puzzle platformer relaxing singleplayer relaxing puzzle platformer
575690,PARKAN: THE IMPERIAL CHRONICLES,parkan the imperial chronicles adventure rpg simulation strategy adventure rpg simulation strategy legendary game from the golden age of russian gaming industry hybrid gameplay combines elements of space simulator shooter strategy and rpg explore the outer space colonize planets negotiate with clans of robots fight in space battles and become mercenary trader or pirate
575700,Fruit Arranger,fruit arranger casual indie casual indie fruit arranger is a fun puzzle game where you have to place fruits on a 9x9 table when you match 3 in a same row or column the last fruit placed will transform into another fruit your goal is to place as many fruits as possible without getting stuck
575710,"Jump, Step, Step",jump step step adventure funny indie programming puzzle adventure funny indie programming puzzle jump step step is a gorgeous and funny programming game with bonsai trees a crazy robot and a broken rocket bob is short circuited and goes mental please send him a series of moves to guide him back to his ship without your help bob will probably tell himself to step on a spike and die
575720,Mighty Party,mighty party action adventure card game class based competitive fast paced free to play jrpg mmorpg massively multiplayer pvp rpg rogue like strategy tactical team based trading card game turn based combat turn based strategy turn based tactics action adventure card game class based competitive fast paced free to play jrpg mmorpg massively multiplayer pvp rpg rogue like strategy tactical team based trading card game turn based combat turn based strategy turn based tactics lead your mighty party to victory fast 3 minute battles will not let you get bored dozens of heroes reveal thousands of unique tactics to defeat all the opponents play imperial archer protect him with wind ninja strengthen them with magic of divinity and destroy opponent s forces
575740,Omega One,omega one action arcade indie shoot em up space twin stick shooter action arcade indie shoot em up space twin stick shooter omega one is one explosive and amazing take on the shoot em up genre it will have a leveling and unlocking system online leader boards split screen vs mode full controller support and much more
575750,Magic Box,magic box adventure casual indie adventure casual indie magic box interesting puzzle game with a lot of interesting and challenging levels
575760,Project: R.E.B.O.O.T 2,project r e b o o t 2 action adventure casual indie action adventure casual indie meet the continuation of the hardcore platformer project r e b o o t
575770,Dangerous Bullets,dangerous bullets action adventure indie rpg action adventure indie rpg dangerous bullets this dynamic hardcore platforming challenges you
575780,Inner silence,inner silence action adventure casual indie action adventure casual indie inner silence cheerful 2d platformer puzzle game
575800,Arizona Rose and the Pharaohs' Riddles,arizona rose and the pharaohs riddles casual indie strategy casual indie strategy arizona rose is the world s foremost treasure hunter and her latest adventure takes her to egypt where an ancient temple has been unearthed inscribed on its walls are mysterious glyphs a code of the sort only arizona can solve
575810,４人打ちアクション麻雀 / ACTION MAHJONG,action mahjong action casual early access indie action casual early access indie don t draw the tiles you want push and get them a new mahjong game that goes beyond mahjong a mah jong game that will play the most exciting and make the biggest noise ever in history is here at last
575820,I Hate Running Backwards,i hate running backwards action bullet hell destruction difficult indie local co op procedural generation rogue like rogue lite runner shoot em up singleplayer voxel action bullet hell destruction difficult indie local co op procedural generation rogue like rogue lite runner shoot em up singleplayer voxel i hate running backwards is a never ending adrenaline packed shoot em down roguelite that puts the emphasis on destruction and fighting never ending waves of enemies while time traveling through procedurally generated worlds
575830,rooMaze,roomaze action adventure indie pixel graphics rpg rogue like action adventure indie pixel graphics rpg rogue like roomaze is a first person hardcore roguelike with voxel graphics and procedurally generated levels all of this is powered by unreal engine 4 don t let acute angled cubes deceive you as behind a simple visual style lies the all consuming hardcore
575840,NeverEnd,neverend adventure indie rogue like adventure indie rogue like neverend is a rogue like dungeon crawler where you a simple adventurer suddenly wakes up in another dimension inside of this dimension there is no sun and the whole world is caved in enemies swarm you from left and right and you need to learn how to defend yourself
575850,Hartacon Tactics,hartacon tactics indie multiplayer rpg singleplayer strategy turn based turn based strategy turn based tactics indie multiplayer rpg singleplayer strategy turn based turn based strategy turn based tactics hartacon tactics is a turn based tactical rpg featuring higly deterministc mechanics beautiful hand painted 2d art and deep gameplay
575860,Tomb Joe,tomb joe action adventure casual indie platformer action adventure casual indie platformer embark on a journey to unravel the mystery of the sceptre of gods and tomb joe s father s disappearance armed only with his sharp wit and his trusty whip joe will have to face deadly traps dangerous wildlife and the best soldiers of the reich to reach his goal and bring fame to his father s name once again
575870,Call to 10,call to 10 action horror indie action horror indie the main character wakes up in a terrible room with a camera attached to his head he doesn t remember anything but instinct tells him to escape you ve been kidnapped by a maniac obsessed with the saw film series so the threat comes not only from the maniac but also from the traps he set up
575880,1979 Invasion Earth,1979 invasion earth action adventure arcade casual indie retro shooter strategy action adventure arcade casual indie retro shooter strategy 1979 invasion earth is a compilation of four casual arcade shooter games based on a classic retro games from when i was a young lad
575890,Katy and Bob Way Back Home,katy and bob way back home casual strategy casual strategy katy and bob way back home help katy and bob to make the best cafe on the isle
575900,Mosaics Galore 2,mosaics galore 2 casual family friendly puzzle casual family friendly puzzle set course for adventure in mosaics galore 2 and find your fantasy 120 magical fantasy mosaics are already waiting
575910,Trump Simulator 2017,trump simulator 2017 action casual indie simulation action casual indie simulation help donald trump to become the president of america taking away votes from your competitor and did not fall for his trap
575920,Felix Jumpman,felix jumpman 3d platformer action casual indie relaxing singleplayer 3d platformer action casual indie relaxing singleplayer this action platformer takes place on the asteroids of far away worlds you have to jump from asteroid to asteroid in 30 mind bending levels in order to get through the level as fast as possible normal game mode more that 30 handcrafted levels
575940,The Tenth Line,the tenth line 2d fantasy female protagonist indie platformer rpg 2d fantasy female protagonist indie platformer rpg a console style rpg featuring a colorful cast of characters unique battle and level up systems quick 2d platforming action and an original fantastical story about friendship faith and finding your place in the world
575950,Blood Feed,blood feed action fps indie action fps indie blood feed the mystery of insectville is fps depthless and mindless shooter where you smashing through the waves of bugs insects and hordes of most disgusting things that ever roamed the earth need to unravel the mysterious dissapearance of the whole town including your family
575960,The Wisbey Mystery,the wisbey mystery adventure casual crime detective hidden object indie mystery point click puzzle relaxing singleplayer adventure casual crime detective hidden object indie mystery point click puzzle relaxing singleplayer for many years people from one little town keep away from a local manor by the woodside it s dark wrecked walls keep a terrible secret about the unsolved murder of the sheriff and his wife
575970,Golem Gates,golem gates card game indie rts strategy card game indie rts strategy golem gates blends elements of real time strategy rts and card battle collect cards called glyphs containing your forces and powers strategically weave them into a deck to prepare for battle then unleash them in streamlined fast paced battles
575990,Knot,knot casual indie puzzle simulation casual indie puzzle simulation for lovers of burr and block puzzles
576010,SQR🔲,sqr 2d casual difficult indie puzzle 2d casual difficult indie puzzle sqr is a colourful mathematical puzzle the player s point is to make each line s digit sum equal to appropriate column s sum using addition and substraction operation only
576020,Final Theosis,final theosis adventure anime casual mystery romance violent visual novel adventure anime casual mystery romance violent visual novel bad news you re dead the second you wake up you find yourself surrounded by ghosts who like you are waiting for their turn to cross the border between purgatory and heaven albeit dead your job now is to uncover the truth about your demise and help human beings on earth in order to earn graces
576030,MHRD,mhrd difficult education indie programming puzzle simulation typing difficult education indie programming puzzle simulation typing mhrd is a hardware design game in which you design various hardware circuits in a hardware description language the hardware circuits you design get more complex as you go until you create a fully functional cpu design
576050,Other Worlds India,other worlds india action action adventure adventure anime casual choose your own adventure classic funny indie metroidvania platformer action action adventure adventure anime casual choose your own adventure classic funny indie metroidvania platformer pure metroidvania game adventures secret locations tons of weapons and of course hardcore gameplay
576060,Faraway Islands,faraway islands action adventure early access indie action adventure early access indie a top down 2d story driven survival game set on unknown islands you must explore in order to find your way home your adventure will contain classic mechanics like crafting acquiring resources hunting animals farming fishing constructing shelter and defending from enemies
576100,Unknown Pharaoh,unknown pharaoh adventure casual indie vr adventure casual indie vr unknown pharaoh will immerse you in an incredible adventure you will take on the role of an archaeologist exploring an ancient egyptian pyramid decipher genuine ancient egyptian hieroglyphs discover ancient egyptian artifacts watch out for traps this game uses arm swings locomotion
576110,Where is my Brain!?,where is my brain action casual indie action casual indie you re jerry an outdated robot but when you came behind the secrets of the great masterbot he captures you your hard drives will be removed to delete the memory of what you ve seen
576120,Purgatory II,purgatory ii adventure fantasy indie pixel graphics rpg strategy adventure fantasy indie pixel graphics rpg strategy in this indie strategy game command your mighty legions of hellish creatures fight your way through the real world and seek vengeance for those who have wronged you
576130,State of Anarchy: Master of Mayhem,state of anarchy master of mayhem 2d action adventure bullet hell casual comedy difficult funny great soundtrack indie loot pixel graphics post apocalyptic rogue lite shoot em up shooter singleplayer top down shooter twin stick shooter violent 2d action adventure bullet hell casual comedy difficult funny great soundtrack indie loot pixel graphics post apocalyptic rogue lite shoot em up shooter singleplayer top down shooter twin stick shooter violent prepare for bullet hell action and crazy driving your town is on fire anarchy reigns the streets aliens rampage in the sky grab your gun and join the fun
576160,A Long Road Home,a long road home 2d adventure atmospheric casual dark fantasy demons fantasy indie multiple endings mystery old school point click puzzle rpgmaker retro singleplayer story rich 2d adventure atmospheric casual dark fantasy demons fantasy indie multiple endings mystery old school point click puzzle rpgmaker retro singleplayer story rich you always knew that there was something odd about your sister but nobody has suspected that she will be the catalyst for the end of the world in this point and click adventure game you follow the trail of your missing sibling uncovering ancient secrets about the past and your family in the process
576260,Winds Of Trade,winds of trade indie management naval pirates sailing sandbox simulation strategy trading indie management naval pirates sailing sandbox simulation strategy trading winds of trade is a strategy game about running an ocean trading company in the 18th and 19th centuries building your trading empire will not be your only goal ruthless pirates shady smugglers wartime and fierce competitors will make the way to the top a long and hard road for you
576280,Arena Hero,arena hero action difficult hack and slash indie loot rpg strategy action difficult hack and slash indie loot rpg strategy fight through waves of unique enemies and evolving levels altering your character throughout battles in the arena by grabbing upgrades and pickups that change the way you fight
576290,Huckleberry Falls,huckleberry falls indie puzzle rpg strategy indie puzzle rpg strategy a new kind of match game set in a post apocalyptic world use your wits and bombs to survive
576310,Oracle,oracle adventure atmospheric casual first person great soundtrack indie open world simulation singleplayer story rich walking simulator adventure atmospheric casual first person great soundtrack indie open world simulation singleplayer story rich walking simulator oracle is a single player open world experience with dozens of locations to explore great soundtrack and an awesome story ready to be unraveled
576320,Economic Conquest,economic conquest casual economy indie simulation strategy casual economy indie simulation strategy economic conquest is a tycoon simulation strategy game with a single goal in mind conquer the world economy select a starting country build up your business improve it maximize your profits and spread your economic influence throughout the world
576370,Cubians VR,cubians vr casual strategy vr casual strategy vr cubians vr is a strategy defense game adorable cubians are living in the fantasy world made with voxel for the victory use strategy and tictac defeat your enemies by effective arrangement of cubians and use of magical power go and experience fantastic cubians world
576380,Adventures of Abrix,adventures of abrix casual indie strategy casual indie strategy play sequel of quot abrix the robot quot game new adventures of abrix now with longer levels where several rooms are connected into one long maze thanks to this it reminds the old retro games from the 80s and 90s
576390,365 Days,365 days action adventure indie rpg simulation survival action adventure indie rpg simulation survival to survive in the wilderness always seems to be something dangerous and scary but in this game you ll stay alone with nature which does not want to kill you wild animals are aggressive here but they just defend their territory and themselves animals will study you and your habits
576400,Elisa: the Innkeeper,elisa the innkeeper adventure anime casual nudity visual novel adventure anime casual nudity visual novel inspired by the italian culture and taking place in a western fantasy setting our visual novel introduces the story of elisa a beautiful owner of an inn struggling with the amorous proposal of honorable knights high born princes and rich merchants
576410,Nihilist Simulator,nihilist simulator adventure casual indie simulation violent adventure casual indie simulation violent a game where your only goal is to die just like in real life
576420,The Curse Of Yendor,the curse of yendor action adventure indie rpg rogue like strategy turn based action adventure indie rpg rogue like strategy turn based kill monsters get loot solve puzzles complete quests a sword and sorcery adventure where your magic shapes the world a classical rogue like with a modern feel quot your nemesis has found the amulet of yendor defeat him before he ascends to godhood
576470,ANIMALITY,animality adventure casual early access indie adventure casual early access indie animality is a skill based animal runner game the goal of the game is to avoid dragons and demons all whilst trying to grab life gems either do this singleplayer or with your friend in local multiplayer co op you can collect 9 fabulous pixel art animals which are purchased using your running cash
576480,Drunken Fight Simulator,drunken fight simulator action early access indie action early access indie for real fun and drunken fighting experience try drunken fighting simulator
576500,Evergarden,evergarden adventure atmospheric beautiful indie magic mystery puzzle relaxing strategy adventure atmospheric beautiful indie magic mystery puzzle relaxing strategy escape into a mysterious world of puzzles that will awaken your mind and quiet your soul
576540,Brother Wings,brother wings action casual indie shoot em up action casual indie shoot em up brother wings is a shoot up jet fighter game with vertical scrolling in this game the player can choose between controlling marko or guida brothers and pilots the game has two forms infinity and time attack both with several ships and types of villains to face
576560,Pain Train,pain train action adventure casual fps first person gore indie strategy violent zombies action adventure casual fps first person gore indie strategy violent zombies shoot your way through 12 gore packed levels complete side missions unlock new weapons beat multiple difficulty modes and defeat all of the cyborg masterminds pain train is entering a subway station near you quot all aboard
576590,Puzzle Wishes,puzzle wishes casual dating sim match 3 nudity puzzle simulation casual dating sim match 3 nudity puzzle simulation lucky you you ve found a genie who s going to help you find your soulmate date seven cute girls by comboing and chaining puzzle pieces together in this dating sim the puzzle mini games actively scroll and will rely on your fast reflexes and thinking
576620,The Puzzle Room VR ( Escape The Room ),the puzzle room vr escape the room action adventure casual indie puzzle simulation singleplayer vr action adventure casual indie puzzle simulation singleplayer vr it is a vr experience where you need to find clues to solve puzzles and find your way out of the room there are some items that can be grabbed and carried around with some items you can interact such as switches piano and numpads
576650,Fovos VR,fovos vr action free to play horror multiplayer vr zombies action free to play horror multiplayer vr zombies fovos is a post apocalyptic horror rail shooter for the htc vive set in a future where an omnipotent ai is taking over human brains through genetic implants
576660,Snake Party,snake party indie racing indie racing snake party is the ultimate party game enabling up to six players to quickly arrange a snake race on the same computer they can choose their own colors type in their names and the game party is ready to go
576670,Sky Is Arrows,sky is arrows adventure indie strategy adventure indie strategy a deep and twisted fantasy world with heroes big battles exploring weird locations dodging traps and permanent death players must be prepared to get their armies out of danger protect their castle from attackers and empower their hero enough to desolate all enemies
576700,Hollow Halls,hollow halls indie indie hollow halls is a short indie horror game focusing on story and atmosphere over combat and action
576720,"Light and Dance VR - Music, Action, Relaxation",light and dance vr music action relaxation action simulation sports vr vr only action simulation sports vr vr only step into a world where music is all that matters lay down and relax to watch the colors and patterns change to your music dance or challenge yourself in one of the music driven games many amazing environments and dance floors are waiting for you to dance the night away
576730,Spirit of Maya,spirit of maya action indie action indie as a white mouse controlled spirit you are about to begin a journey in fairytale world your goal is to find your mask which leaves you because of your boring lazy life
576740,FootRock 2,footrock 2 action indie sports action indie sports there are no rules and laws we have abolished time gravity and space challenge the ordinary reality in our crazy game
576750,Ropes And Dragons VR,ropes and dragons vr action adventure indie vr action adventure indie vr virtual game for the whole family you can become a magician in a marvelous world take a lot of obstacles and feed the charming dragon by his favorite candies
576770,Low Magic Age,low magic age 2d adventure casual classic dungeons dragons early access fantasy indie loot rpg rogue like sandbox singleplayer strategy tactical tactical rpg turn based turn based combat turn based tactics 2d adventure casual classic dungeons dragons early access fantasy indie loot rpg rogue like sandbox singleplayer strategy tactical tactical rpg turn based turn based combat turn based tactics adventure and fight in a medieval fantasy open world build heroic characters with various abilities travel through villages cities or perilous dungeons strategic turn based combat system and advanced character building fog of war charging and flanking and more in the fast paced arena mode
576800,Final Bravely,final bravely 2d action action adventure adventure fantasy indie rpg rpgmaker singleplayer 2d action action adventure adventure fantasy indie rpg rpgmaker singleplayer explore the world of nilume and discover the tragic story of n orzielle follow the dark and destructive path she took to save her from her terrible fate
576810,2 Ninjas 1 Cup,2 ninjas 1 cup 2d action casual comedy difficult great soundtrack indie memes ninja pixel graphics platformer replay value singleplayer 2d action casual comedy difficult great soundtrack indie memes ninja pixel graphics platformer replay value singleplayer get ready for a game so stupid you would rather show your browser history than admit that you like it lots of action explosions and yes it s a penis tank in the trailer
576820,Colourise,colourise abstract casual indie puzzle vr abstract casual indie puzzle vr colourise is a puzzle game about connecting the dots it s easier said than done explore over twenty five complex spatial puzzles in an astronomy inspired abstract neon world
576840,RAYGUN COMMANDO VR,raygun commando vr casual free to play indie vr casual free to play indie vr looking for some arcade style shooting action try this sci fi style on rails shooter in room scale vr today
576860,Summer Nightmare,summer nightmare adventure anime casual free to play gore horror indie psychological horror visual novel adventure anime casual free to play gore horror indie psychological horror visual novel if one s imagined world of nightmare and the real world unite the hide and seek game of death in the world of nightmare begins discover hints and save yourself from the nightmare
576880,Blackwater Bayou VR,blackwater bayou vr action adventure casual indie rpg simulation vr action adventure casual indie rpg simulation vr it has been only a few weeks since they came the aliens have taken a majority of the population centers out and are working on remote areas now as far as you know everyone is already dead all communications were blocked as soon as they arrived so there is no way to know if anyone else has survived this long
576940,Hunt For Gods,hunt for gods action early access free to play great soundtrack multiplayer rpg strategy survival vr action early access free to play great soundtrack multiplayer rpg strategy survival vr play hunt for gods the competitive non pay to win moba like game in which each of the 3 teams is led by a strategic player named god you ll always have more to discover with free updates every two weeks join the hunt with your friends
576950,Westard,westard action early access indie vr western action early access indie vr western get ready to heist banks and rob trains solo or co op with friends in westard vr take it to the western streets to decide who controls the town in pvp multiplayer modes
576960,Out of The Box,out of the box adventure casual dark humor gore indie rpg sexual content simulation strategy violent adventure casual dark humor gore indie rpg sexual content simulation strategy violent dive into a wild story of gangsters and criminals where you decide the fate of the peculiar customers of a luxurious nightclub in a never ending race against the clock
576980,Western 1849 Reloaded,western 1849 reloaded action arcade casual indie on rails shooter shooter third person shooter western action arcade casual indie on rails shooter shooter third person shooter western become the ultimate bounty hunter in this bullet fast third person shooting gallery and save the town of sunset bluff from the relentless quicksilver guns
577000,Witchcraft,witchcraft action indie rpg strategy action indie rpg strategy in witchcraft you will be able to create your own character configuration and fight against your friends or ai in 1vs 1 or 2vs 2 battles the way you customize your character and the way you manage yourself in the battlefield will have huge consequences in leading you to victory or defeat
577080,A Dump in the Dark,a dump in the dark action adventure casual gore horror indie memes nudity sexual content simulation strategy violent action adventure casual gore horror indie memes nudity sexual content simulation strategy violent your cheeks will quiver in fear as ghastly ghouls accost your rear you will gape in horror as you face the dark only your rump can guide you through
577120,Archipelago: Navigable VR Comic,archipelago navigable vr comic casual indie story rich vr casual indie story rich vr archipelago is a navigable vr comic containing 65 characters and 6 787 lines of dialogue it is intended to be a family friendly story world suitable for all ages it is not a game you are placed inside a comic world as multiple stories play out in real time around you
577150,ICEBOX: Speedgunner,icebox speedgunner 3d platformer action competitive fps indie racing sci fi 3d platformer action competitive fps indie racing sci fi a competitive run and gun 3d platforming fps video game the clock s ticking carve an ice cool path through the icebox cutting corners dodging obstacles amp eliminating guards as you race to become the ultimate speedgunner can you escape the icebox before time runs out
577160,Skyling: Garden Defense,skyling garden defense action casual indie action casual indie a fun and frantic maze game with classic arcade style
577180,Sin Castle,sin castle indie rpg strategy indie rpg strategy sin castle is a slightly high difficulty adventure game that focus on puzzling contains various policy elements rigorous rules the key of puzzle this game is reasonable attributes assignment props use and equipment collocation as the grids opened game player will encounter all sorts of strategic monsters and puzzling design
577210,Q.U.I.R.K.™,q u i r k action action adventure building casual co op colorful competitive early access family friendly indie massively multiplayer moddable multiplayer pve pvp replay value sandbox sports vr action action adventure building casual co op colorful competitive early access family friendly indie massively multiplayer moddable multiplayer pve pvp replay value sandbox sports vr q u i r k is a multiplayer cross platform game for pc macos and htc vive play sportsball our new fast paced game type and build with an expanded collection of colorful blocks and props that will have your players bouncing higher running faster and having more fun than ever
577230,Three Kingdoms: The Last Warlord | 三国志:汉末霸业,three kingdoms the last warlord 4x early access grand strategy historical indie military simulation strategy tactical turn based turn based combat turn based strategy turn based tactics war wargame 4x early access grand strategy historical indie military simulation strategy tactical turn based turn based combat turn based strategy turn based tactics war wargame three kingdoms the last warlord is a turn based strategy game the game is based on the famous chinese historical novel the three kingdoms a d 190 280 was the tripartite division of china between the states of wei shu and wu
577270,VR Aquarium -雅-,vr aquarium simulation vr simulation vr you can spend relaxing time with goldfish in vr space
