appid,name,content
1520,DEFCON,defcon 2d addictive atmospheric cold war diplomacy great soundtrack indie multiplayer psychological horror rts real time with pause simulation singleplayer strategy tactical war wargame 2d addictive atmospheric cold war diplomacy great soundtrack indie multiplayer psychological horror rts real time with pause simulation singleplayer strategy tactical war wargame inspired by the 1983 cult classic film wargames defcon superbly evokes the tension paranoia and suspicion of the cold war era playing on the fascinating aspects of psychological gameplay that occur during strategic nuclear warfare you play a general hidden deep within an underground bunker
1530,Multiwinia,multiwinia indie multiplayer rts retro singleplayer strategy indie multiplayer rts retro singleplayer strategy quot long ago a computer scientist called dr sepulveda created a beautiful digital world existing entirely within a computer network of his own invention this world was called darwinia and it was inhabited by a peaceful law abiding digital life form called the darwinians
1600,Dangerous Waters,dangerous waters multiplayer naval simulation strategy multiplayer naval simulation strategy s c s dangerous waters allows you total control over multiple air surface and submarine platforms in a modern day naval environment take direct control of individual crew stations and also plan and execute combined arms naval strategies from a top down commanders eye perspective
1610,Space Empires IV Deluxe,space empires iv deluxe 4x sci fi singleplayer space strategy turn based turn based strategy 4x sci fi singleplayer space strategy turn based turn based strategy the award winning space empires iv deluxe is the latest edition in the space empires series a grand strategy title in the space 4x explore expand exploit and exterminate genre space empires has already found a place in the heart of strategy gamers everywhere
1630,Disciples II: Rise of the Elves ,disciples ii rise of the elves atmospheric classic dark fantasy fantasy great soundtrack rpg strategy turn based turn based strategy atmospheric classic dark fantasy fantasy great soundtrack rpg strategy turn based turn based strategy the award winning series disciples introduced a milestone in the game s very successful history the introduction of a new race the elves the elven race added a new dimension to the game and added countless hours of gameplay now that series has expanded further with disciples ii rise of the elves
1640,Disciples II: Gallean's Return,disciples ii gallean s return atmospheric classic dark fantasy fantasy gothic great soundtrack isometric multiplayer rpg strategy tactical turn based turn based strategy atmospheric classic dark fantasy fantasy gothic great soundtrack isometric multiplayer rpg strategy tactical turn based turn based strategy disciples ii gallean s return is a compilation edition that includes the base game disciples ii dark prophecy plus the two standalone expansions disciples ii guardians of the light and disciples ii servants of the dark
1670,Iron Warriors: T - 72 Tank Command ,iron warriors t 72 tank command military simulation strategy tanks military simulation strategy tanks the most devastating mechanized armor to ever roll onto a battlefield is brought to life in iron warriors t72 tank command this epic combat simulator allows the player to command an entire platoon of tanks and all associated support units or assume the role of any member in a complete tank crew
1690,Space Empires V,space empires v 4x multiplayer sci fi singleplayer space strategy turn based turn based strategy 4x multiplayer sci fi singleplayer space strategy turn based turn based strategy space empires v is the latest edition in the space empires series this new chapter completely updates the ui and takes the player into a real time rendered 3d universe watch space battles played out in glorious detail and realistic effects expand explore exploit and exterminate in a huge living breathing galaxy
1700,Arx Fatalis,arx fatalis action action rpg adventure atmospheric classic dark fantasy dungeon crawler exploration fantasy first person horror magic rpg singleplayer stealth story rich underground action action rpg adventure atmospheric classic dark fantasy dungeon crawler exploration fantasy first person horror magic rpg singleplayer stealth story rich underground this critically acclaimed first person rpg takes the player on an amazing journey into the fantasy world of arx the game mixes intelligent story with immersive and actual medieval surroundings arx fatalis allows the player to feel that all his actions have a direct consequence on those around him
1840,Source Filmmaker,source filmmaker action animation modeling anime character customization comedy crafting difficult first person free to play funny great soundtrack horror memes moddable movie multiplayer sandbox singleplayer software video production action animation modeling anime character customization comedy crafting difficult first person free to play funny great soundtrack horror memes moddable movie multiplayer sandbox singleplayer software video production the source filmmaker sfm is the movie making tool built and used by us here at valve to make movies inside the source game engine because the sfm uses the same assets as the game anything that exists in the game can be used in the movie and vice versa
